Brand,Model,Battery Capacity (kWh),Efficiency (Wh/km),Top Speed (km/h),Drive Type,Vehicle Weight (kg),Motor Power (kW),Acceleration 0-100 (sec),Charging Time (hours),Range (km)
Honda,e:Ny1 (v2021),61.9,202.2,169.5,AWD,1868.9,199.2,9.3,1.7,299.1
Jaguar,I-Pace HSE (v2025),73.4,187.3,161.6,FWD,2075.5,211.2,9.6,2.3,351.6
Tesla,Cybertruck Tri (v2025),91.4,218.2,190.0,RWD,2287.9,376.1,7.6,2.2,369.2
MG,MG4 EV Standard (v2025),42.4,198.0,151.0,AWD,1991.2,147.6,10.1,2.3,197.7
Volkswagen,ID.5 GTX (v2025),96.2,206.4,181.6,RWD,2198.5,291.2,8.5,5.1,432.4
Porsche,Taycan Turbo (v2024),72.5,223.9,177.8,AWD,2114.9,277.6,8.4,1.8,305.6
Toyota,bZ3 (v2021),54.9,172.4,157.7,RWD,1706.8,156.8,10.5,2.0,306.2
Volvo,EX90 Twin Motor (v2025),49.3,192.9,155.5,FWD,1632.9,221.0,9.7,3.0,232.2
Polestar,Polestar 2 Standard (v2025),96.5,198.6,166.1,RWD,2273.1,229.8,8.7,5.3,437.2
Kia,EV6 GT-Line (v2025),67.4,193.5,162.5,FWD,1817.0,190.1,9.7,2.8,314.2
BMW,i5 eDrive40 (v2021),88.6,214.1,160.5,RWD,2396.4,196.9,9.9,4.2,386.0
Audi,e-tron S (v2025),101.0,232.5,175.2,AWD,2355.7,316.9,8.8,2.7,410.1
Tesla,Model 3 LR (v2022),91.6,254.0,223.2,AWD,2590.1,581.1,5.2,4.2,346.0
MG,MG4 EV XPOWER (v2022),36.4,183.5,149.4,FWD,1568.6,104.3,10.9,1.6,183.6
Porsche,Taycan Cross Turismo (v2024),102.9,219.8,206.6,RWD,2415.9,456.8,6.4,3.5,422.6
Mercedes,EQE 500 (v2022),102.2,212.6,181.5,FWD,2401.3,321.8,7.8,3.8,449.9
Chevrolet,Bolt EUV (v2023),53.8,203.0,148.0,AWD,1887.0,125.9,10.3,5.9,237.2
Nissan,Leaf 40kWh (v2022),47.6,170.1,149.2,RWD,1580.1,129.2,11.0,2.5,264.9
Volkswagen,ID.5 GTX (v2021),49.1,203.8,152.0,FWD,1929.2,155.0,9.6,2.0,227.7
Chevrolet,Silverado EV WT (v2023),97.4,228.5,189.2,AWD,2379.6,309.8,8.5,3.7,412.7
BMW,i4 eDrive35 (v2024),85.5,226.1,179.5,AWD,2350.3,317.4,7.9,4.5,369.9
BMW,i5 eDrive40 (v2023),83.4,207.9,169.0,FWD,2232.2,263.8,9.3,3.1,373.7
Audi,e-tron GT (v2023),91.0,227.2,193.4,AWD,2450.6,362.9,7.6,4.0,382.2
Polestar,Polestar 2 Long Range (v2023),96.5,213.3,165.7,AWD,2284.7,250.0,8.7,4.4,423.1
Honda,e:Ny1 (v2025),65.9,199.9,160.7,FWD,1909.5,166.7,9.9,2.8,305.8
Audi,e-tron S (v2025),78.1,214.9,166.8,AWD,2252.2,229.9,9.9,5.4,337.3
Volvo,EX90 Performance (v2024),80.9,212.0,159.3,FWD,2262.3,230.4,9.3,6.2,358.9
Volvo,EX30 Single Motor (v2021),83.1,223.7,167.9,AWD,2222.1,248.2,8.8,4.0,351.1
Tesla,Model S Dual (v2023),117.6,247.4,206.5,AWD,2741.1,473.5,6.7,6.7,459.0
Mercedes,EQB 300 (v2025),87.7,225.3,188.2,AWD,2275.2,378.6,7.4,3.3,369.5
Hyundai,Ioniq 5 N (v2024),74.5,207.7,181.7,FWD,1977.1,307.2,8.6,3.3,322.9
Lucid,Air Grand Touring (v2025),67.9,206.0,186.5,RWD,2165.2,340.6,8.2,2.2,320.7
Chevrolet,Blazer EV RS (v2022),49.0,189.3,148.4,FWD,1733.5,152.7,10.1,1.9,235.3
MG,ZS EV Long Range (v2021),72.7,208.9,183.6,FWD,2005.2,312.7,8.2,2.7,327.5
MG,MG5 EV (v2021),52.1,184.1,150.0,FWD,1679.8,118.0,10.5,4.3,270.0
Hyundai,Ioniq 5 Standard (v2021),83.6,202.5,157.7,FWD,2232.8,215.6,9.6,2.8,370.5
Polestar,Polestar 4 Dual (v2021),75.1,206.9,182.4,FWD,2044.2,314.2,8.2,4.3,352.9
Honda,e:Ny1 (v2025),65.5,200.3,174.4,FWD,2077.8,275.8,8.9,3.4,294.6
Chevrolet,Blazer EV LT (v2021),107.0,239.9,200.0,RWD,2597.8,433.2,6.5,3.6,422.9
Polestar,Polestar 2 Standard (v2021),87.0,205.1,176.9,RWD,2311.8,265.8,8.2,3.6,405.8
Volvo,C40 Recharge (v2023),98.2,229.2,161.4,AWD,2479.8,262.0,8.8,2.3,383.9
Hyundai,Ioniq 5 Long Range (v2024),73.3,237.3,163.6,AWD,2192.6,212.2,8.9,3.8,289.9
Rivian,R1T Dual Motor (v2021),49.8,187.0,177.7,RWD,1614.3,270.7,8.4,2.1,242.6
Mercedes,EQC 400 (v2025),63.3,189.9,165.4,FWD,1838.9,220.8,9.7,2.5,306.4
Volvo,EX30 Twin Motor (v2021),65.6,213.7,159.0,FWD,2159.9,183.0,9.7,2.8,299.3
Nissan,Leaf e+ (v2021),72.7,204.3,166.6,FWD,2142.8,209.3,9.0,2.5,341.9
MG,Cyberster RWD (v2022),72.2,204.4,169.5,FWD,1998.5,301.3,8.5,2.4,340.4
Chevrolet,Bolt EV (v2021),93.5,243.2,181.8,AWD,2538.7,300.5,8.2,2.4,371.1
Lucid,Air Pure (v2022),101.1,239.4,203.6,AWD,2632.3,519.4,6.2,6.9,401.6
Toyota,bZ4X FWD (v2021),77.0,208.2,174.0,RWD,2019.4,294.3,8.9,2.7,327.2
Volvo,XC40 Recharge (v2023),101.0,238.5,194.3,AWD,2651.4,375.1,7.5,3.4,398.3
Toyota,bZ4X FWD (v2024),62.5,209.4,158.3,RWD,2041.3,216.7,9.6,2.2,276.9
Volkswagen,ID.5 Pro (v2022),92.7,227.0,166.4,RWD,2273.2,279.7,8.2,6.5,379.7
Porsche,Taycan Turbo S (v2023),76.8,223.1,188.8,AWD,2104.6,373.8,8.2,2.9,310.6
Nissan,Leaf 40kWh (v2025),45.8,184.5,144.9,FWD,1865.1,104.2,10.7,1.6,238.5
Tesla,Cybertruck Dual (v2021),114.1,250.6,269.9,RWD,2657.0,860.8,2.1,3.7,404.8
Audi,Q4 40 e-tron (v2022),73.8,228.3,177.2,AWD,2195.4,320.7,8.2,2.4,303.3
Porsche,Taycan Turbo (v2023),86.4,248.5,256.7,RWD,2244.2,764.7,3.2,2.6,315.0
Volvo,XC40 Recharge (v2024),52.8,174.1,165.3,FWD,1649.7,208.2,9.4,2.2,270.8
Audi,RS e-tron GT (v2024),104.5,211.5,181.0,RWD,2451.5,338.0,8.4,3.3,436.8
Chevrolet,Silverado EV WT (v2023),68.2,209.3,167.8,AWD,2266.7,190.0,9.7,2.2,311.7
Hyundai,Ioniq EV (v2022),65.1,192.4,176.2,FWD,1972.9,242.7,9.0,3.5,309.3
Chevrolet,Blazer EV RS (v2025),98.6,219.4,203.7,RWD,2509.4,429.1,7.1,3.1,423.8
Lucid,Air Pure (v2025),113.5,237.0,212.2,AWD,2671.7,539.3,6.4,7.3,424.5
BMW,iX xDrive50 (v2021),62.5,193.7,169.0,FWD,1869.9,239.8,9.4,1.7,309.2
Polestar,Polestar 2 Long Range (v2023),85.1,229.5,185.6,AWD,2247.4,371.5,8.4,2.6,338.6
Honda,e (v2023),40.5,174.1,149.0,RWD,1604.0,156.4,10.3,1.4,220.9
Audi,e-tron S (v2023),102.2,198.8,187.6,RWD,2357.2,317.9,8.6,2.8,464.1
Ford,F-150 Lightning Standard (v2023),100.5,215.5,190.7,FWD,2481.4,341.4,7.9,3.9,434.0
Volkswagen,ID. Buzz Pro (v2024),57.5,189.4,155.9,AWD,1799.5,136.4,10.1,1.7,279.4
Toyota,bZ3 (v2023),91.5,225.7,197.0,AWD,2392.6,386.2,7.6,2.6,380.1
BYD,Atto 3 (v2023),53.4,187.8,158.5,RWD,1828.0,166.0,10.0,2.6,250.5
Toyota,bZ4X FWD (v2024),78.0,195.1,178.2,FWD,1988.5,292.1,8.4,4.3,376.0
Porsche,Macan EV Turbo (v2025),109.3,232.9,230.2,RWD,2466.2,647.5,4.4,2.7,425.7
Nissan,Townstar EV (v2021),58.0,206.4,148.1,FWD,1954.1,149.7,10.2,1.4,249.4
Volvo,EX30 Single Motor (v2022),54.8,183.9,164.7,FWD,1952.2,232.5,9.0,4.9,272.8
Toyota,bZ4X FWD (v2022),46.3,205.3,155.6,RWD,1822.7,153.7,9.5,3.3,218.3
Honda,e (v2023),49.9,194.4,157.7,FWD,1849.8,187.0,9.7,5.4,228.1
MG,MG5 EV (v2024),48.9,188.8,142.8,FWD,1633.4,180.5,9.8,2.2,233.6
Honda,e:Ny1 (v2024),73.0,190.3,156.9,RWD,1934.3,164.9,10.0,1.8,339.9
Lucid,Air Grand Touring (v2021),75.1,225.3,190.1,AWD,2177.2,425.2,7.3,3.4,295.9
BMW,iX xDrive40 (v2021),50.1,192.7,155.8,AWD,2024.9,207.5,9.7,1.4,245.2
Audi,Q8 50 e-tron (v2024),67.6,208.6,159.5,FWD,1982.8,200.7,9.6,5.2,312.1
Hyundai,Ioniq 5 Long Range (v2025),99.5,231.5,195.2,AWD,2494.2,370.3,8.0,5.2,399.3
BMW,i4 eDrive35 (v2024),66.9,200.2,163.2,FWD,2073.7,261.6,9.0,2.1,306.1
MG,ZS EV Long Range (v2022),45.5,178.6,148.3,FWD,1669.2,152.2,9.8,4.9,234.4
BMW,iX M60 (v2025),98.8,188.5,173.5,FWD,2194.2,272.8,8.8,2.7,484.7
Hyundai,Kona Electric 39kWh (v2022),57.4,214.7,155.1,AWD,1899.1,177.7,9.7,2.4,244.0
Mercedes,EQC 400 (v2023),89.7,216.6,172.8,AWD,2303.7,254.3,9.4,7.0,392.3
BMW,iX xDrive40 (v2023),83.3,196.7,165.7,RWD,2072.0,238.4,9.4,3.2,382.3
Volkswagen,ID.5 Pro (v2024),105.5,247.7,192.5,AWD,2454.9,443.3,7.1,3.7,391.6
Rivian,R1S Quad Motor (v2023),70.9,210.0,187.3,RWD,2068.0,422.8,6.5,6.9,314.2
Polestar,Polestar 3 Long Range (v2025),75.1,200.7,155.1,AWD,2121.2,166.9,9.9,4.8,357.7
Mercedes,EQE 500 (v2023),97.6,222.5,176.5,RWD,2482.1,262.9,9.2,6.0,401.1
Toyota,bZ4X AWD (v2022),54.2,185.0,160.7,RWD,1714.1,199.8,9.3,4.8,279.1
Volvo,EX90 Performance (v2025),91.4,208.5,164.0,RWD,2387.1,230.2,9.3,6.5,391.3
Volvo,EX90 Performance (v2025),84.3,230.1,173.8,AWD,2329.6,245.9,8.8,8.1,333.7
Hyundai,Ioniq 5 Long Range (v2024),95.7,219.1,197.2,FWD,2376.0,427.3,7.2,3.5,387.3
Ford,F-150 Lightning Standard (v2021),68.1,213.0,164.2,AWD,2182.6,268.1,8.8,2.3,287.3
Lucid,Air Sapphire (v2024),109.2,258.2,275.0,AWD,2539.0,880.0,2.1,6.4,376.0
Toyota,bZ4X FWD (v2021),83.0,222.1,179.0,AWD,2086.9,318.5,8.0,3.3,365.2
Volkswagen,ID.4 Pro (v2022),46.0,180.9,160.8,RWD,1629.1,171.3,9.8,4.7,243.3
Volkswagen,ID.4 GTX (v2025),89.1,228.5,178.7,AWD,2227.7,358.3,8.6,2.2,359.2
Volkswagen,ID.5 GTX (v2025),55.1,205.9,154.5,FWD,1954.4,166.6,10.4,2.2,257.5
Toyota,bZ4X FWD (v2023),47.8,176.6,158.6,FWD,1909.4,163.2,10.3,2.3,242.5
Ford,E-Transit (v2024),92.3,218.2,168.5,AWD,2435.3,210.5,9.5,2.9,381.1
BMW,iX M60 (v2021),95.6,211.9,190.2,RWD,2438.8,336.7,8.1,6.1,409.6
Honda,e (v2024),67.5,199.0,173.3,FWD,2081.0,261.7,9.3,1.8,321.4
Mercedes,EQS SUV 450 (v2023),105.4,208.0,208.2,RWD,2405.5,465.7,6.6,7.6,447.1
BMW,iX xDrive50 (v2024),46.9,193.1,152.7,FWD,1710.1,133.2,10.8,1.8,228.8
BMW,i4 eDrive35 (v2021),65.2,219.5,177.1,AWD,2111.3,278.3,8.7,2.1,264.0
Volvo,EX90 Twin Motor (v2024),50.9,193.5,150.1,FWD,1757.7,127.9,10.9,1.6,246.6
Polestar,Polestar 2 Long Range (v2024),65.7,213.5,176.1,RWD,2060.5,265.7,9.1,4.2,289.3
Lucid,Air Grand Touring (v2022),136.6,264.1,222.7,AWD,2762.2,623.4,4.4,6.8,486.2
Rivian,R1T Quad Motor (v2021),106.6,254.2,239.4,AWD,2590.1,629.4,4.4,6.9,400.2
Rivian,R1T Dual Motor (v2021),48.5,208.0,178.8,AWD,1960.8,301.9,8.1,2.0,215.0
Jaguar,I-Pace Black (v2022),46.9,201.1,149.0,FWD,1899.4,104.0,10.6,1.7,205.1
Porsche,Taycan Base (v2022),131.5,253.4,236.9,AWD,2799.6,680.3,4.3,3.8,485.5
MG,ZS EV Standard (v2023),60.7,193.6,180.5,FWD,2066.0,257.1,8.9,4.2,286.7
Rivian,R1T Dual Motor (v2025),47.5,198.5,166.3,RWD,1776.4,185.6,9.8,2.3,228.3
Rivian,R1S Quad Motor (v2025),50.6,192.2,175.2,RWD,1717.8,223.9,9.7,2.7,232.4
Jaguar,I-Pace Black (v2021),94.2,199.4,168.8,RWD,2218.6,255.2,8.9,2.6,456.0
Volkswagen,ID.7 Pro (v2021),62.5,196.3,164.4,FWD,1943.8,224.6,8.6,2.6,290.9
BMW,i4 eDrive35 (v2021),63.5,181.2,171.0,RWD,1753.6,231.0,8.8,2.1,334.7
BMW,i4 eDrive35 (v2023),98.4,213.9,199.8,FWD,2376.9,408.0,7.7,9.6,406.6
Polestar,Polestar 2 Long Range (v2025),105.1,225.4,194.6,RWD,2422.8,382.3,8.2,2.8,434.5
Lucid,Air Grand Touring (v2025),64.2,206.3,177.9,RWD,2071.4,305.7,8.5,2.7,293.2
Toyota,bZ3 (v2021),101.8,201.0,165.9,RWD,2407.1,228.9,9.7,2.8,467.1
BYD,Dolphin Standard (v2023),92.3,214.6,171.4,RWD,2375.4,302.9,8.0,2.4,415.0
Ford,F-150 Lightning Extended (v2022),78.8,202.7,168.5,FWD,2207.0,188.9,10.5,2.5,380.5
Lucid,Air Grand Touring (v2023),84.4,208.2,183.8,RWD,2134.0,321.8,8.1,3.9,396.5
BMW,iX M60 (v2025),65.5,203.2,161.1,RWD,1985.2,157.8,10.1,3.4,314.7
BMW,i5 eDrive40 (v2021),57.6,204.4,163.0,AWD,1860.5,170.5,10.0,3.2,269.7
BYD,Han EV (v2022),75.9,198.3,167.5,FWD,2026.1,213.6,9.9,2.8,337.4
Nissan,Ariya 63kWh (v2021),62.2,196.9,170.1,RWD,1995.2,271.7,8.1,3.1,290.2
Hyundai,Ioniq 5 Standard (v2023),83.0,212.7,179.5,FWD,2006.6,297.8,7.9,3.6,382.2
Porsche,Taycan Base (v2021),73.1,234.3,186.6,AWD,2343.0,323.2,8.3,2.6,299.1
Kia,Niro EV (v2023),53.3,213.5,162.1,AWD,2083.7,206.1,9.4,3.2,242.5
Ford,Mustang Mach-E SR (v2025),70.3,203.2,166.3,FWD,2205.0,223.7,9.1,3.9,332.2
Kia,EV6 Wind (v2024),71.9,203.0,170.3,FWD,1942.0,239.5,9.6,5.9,332.3
Chevrolet,Blazer EV RS (v2021),72.1,205.2,173.0,FWD,1991.5,301.1,8.5,3.1,341.0
MG,ZS EV Long Range (v2022),43.1,180.3,147.4,RWD,1602.0,170.5,9.8,1.9,224.9
Kia,EV6 GT (v2023),101.4,214.7,187.9,AWD,2295.0,414.0,7.5,3.8,458.3
Audi,Q8 50 e-tron (v2022),97.9,229.5,187.8,RWD,2484.6,393.0,7.8,2.5,412.1
Volvo,EX90 Twin Motor (v2021),75.6,211.5,156.6,AWD,2383.7,224.2,8.9,2.6,349.2
Toyota,bZ4X AWD (v2023),62.5,194.1,168.0,FWD,1967.5,225.2,9.6,3.6,308.7
Mercedes,EQE 500 (v2025),50.3,174.9,151.4,RWD,1746.6,175.5,9.9,1.5,275.7
Nissan,Leaf e+ (v2024),41.1,196.1,150.4,AWD,1592.0,135.1,10.7,1.8,190.5
BYD,Tang EV (v2022),100.4,241.8,187.0,AWD,2663.4,386.4,7.9,2.8,395.8
Volkswagen,ID.5 GTX (v2022),61.4,218.0,155.6,RWD,1865.2,137.9,10.4,2.0,262.5
Audi,Q6 e-tron (v2021),48.4,186.0,162.6,FWD,1729.2,175.8,10.1,2.6,252.5
Honda,Prologue Touring (v2021),62.8,206.9,150.4,FWD,2042.6,173.5,9.5,6.4,274.5
Hyundai,Ioniq 5 N (v2023),79.4,193.2,163.5,FWD,2178.1,229.0,9.6,2.4,382.5
Toyota,bZ3 (v2025),87.1,213.3,188.8,RWD,2235.8,315.7,7.6,3.4,387.9
Kia,EV6 GT (v2023),98.7,222.0,183.0,FWD,2530.0,318.4,8.5,4.2,429.3
Kia,EV6 GT (v2025),50.9,183.3,158.1,FWD,1810.9,168.0,9.9,2.0,264.7
Audi,e-tron GT (v2021),55.4,191.0,165.9,FWD,1816.1,172.9,10.5,1.6,258.1
Lucid,Air Sapphire (v2023),135.3,262.2,259.6,RWD,2849.4,880.0,2.1,7.1,470.0
Kia,EV6 Wind (v2024),103.6,237.7,177.4,AWD,2748.3,258.2,8.9,3.7,407.5
Toyota,bZ4X FWD (v2023),54.1,204.4,160.2,AWD,2030.4,169.8,10.1,2.3,251.3
BMW,i5 M60 (v2024),58.7,203.1,156.8,RWD,2063.2,174.4,10.1,3.2,255.0
Chevrolet,Blazer EV LT (v2023),83.6,223.4,164.8,AWD,2393.4,224.8,9.3,2.8,333.5
BYD,Dolphin Standard (v2021),79.1,203.7,177.6,AWD,2109.3,275.1,8.5,3.5,379.1
Ford,F-150 Lightning Standard (v2023),103.1,232.4,203.3,RWD,2429.2,451.1,6.3,2.6,407.5
Volkswagen,ID. Buzz Pro (v2022),99.1,224.6,192.0,AWD,2576.0,334.9,7.9,4.2,391.5
Ford,Mustang Mach-E GT (v2025),59.5,211.3,163.4,FWD,1992.9,190.7,10.0,2.0,274.5
Porsche,Macan EV Turbo (v2021),83.8,231.0,213.0,AWD,2235.2,514.0,5.9,3.5,354.5
Mercedes,EQE SUV 350 (v2024),55.8,206.8,160.5,RWD,2040.0,135.0,10.5,1.8,251.9
Chevrolet,Blazer EV LT (v2021),94.5,232.3,167.6,AWD,2573.3,270.0,9.1,2.9,394.2
MG,MG4 EV Standard (v2021),49.6,205.0,153.3,RWD,1910.5,195.3,9.2,1.7,217.8
Rivian,R1T Dual Motor (v2025),84.7,227.4,184.5,AWD,2129.6,381.6,7.5,2.5,339.8
Toyota,bZ4X AWD (v2022),93.8,209.0,186.9,FWD,2257.9,359.5,7.5,5.6,426.6
BYD,Atto 3 (v2021),106.6,229.3,206.6,FWD,2372.9,479.8,6.8,6.9,446.7
Jaguar,I-Pace HSE (v2022),104.6,220.1,200.4,RWD,2540.3,403.9,6.9,2.7,434.4
Volkswagen,ID.3 Pro (v2022),67.7,193.0,154.0,RWD,2101.3,164.0,10.4,2.6,335.7
Audi,Q8 50 e-tron (v2025),82.5,202.5,164.0,AWD,2436.5,219.8,9.0,2.0,361.0
Honda,e:Ny1 (v2021),72.0,195.8,167.7,FWD,2190.6,245.2,9.0,2.0,342.1
Jaguar,I-Pace Black (v2025),47.5,200.2,151.3,AWD,1810.3,161.6,9.9,1.9,211.9
Chevrolet,Silverado EV WT (v2022),100.7,212.3,180.6,RWD,2250.9,325.7,8.0,4.3,443.9
Volvo,EX30 Single Motor (v2021),98.1,212.7,176.9,RWD,2254.6,262.1,9.4,3.3,427.6
BYD,Han EV (v2022),64.8,205.6,158.3,AWD,2027.5,157.4,10.1,2.7,296.2
Rivian,R1S Dual Motor (v2021),50.2,215.5,178.4,AWD,1976.0,335.9,7.8,3.0,206.5
Rivian,R1T Dual Motor (v2022),87.7,235.0,210.1,AWD,2368.0,482.5,6.2,7.0,360.2
BYD,Han EV (v2022),75.2,208.8,175.2,RWD,2278.8,282.9,8.6,6.0,331.9
Tesla,Model S Plaid (v2023),129.1,254.4,268.0,AWD,2776.9,868.8,2.1,6.1,462.8
Lucid,Air Grand Touring (v2023),138.5,259.1,248.4,AWD,2890.0,703.4,4.1,6.0,505.8
BMW,i5 M60 (v2022),87.7,210.9,177.7,RWD,2124.6,271.9,9.2,3.6,396.8
Kia,EV9 GT-Line (v2021),64.5,200.5,161.2,RWD,1916.5,244.3,9.1,5.6,309.0
Chevrolet,Blazer EV RS (v2021),68.4,219.7,172.9,AWD,2274.1,190.8,10.1,6.4,283.6
Nissan,Ariya 63kWh (v2023),38.7,190.5,154.9,AWD,1641.2,120.3,10.3,2.9,189.3
Porsche,Macan EV Turbo (v2022),113.3,229.1,228.3,RWD,2394.5,576.4,5.2,6.6,459.3
Volvo,C40 Recharge (v2025),84.6,227.2,192.6,AWD,2223.5,336.8,7.9,2.6,361.9
Ford,Mustang Mach-E SR (v2024),95.2,203.1,198.6,RWD,2207.7,377.6,7.6,5.2,432.4
Toyota,bZ3 (v2021),91.8,201.9,179.3,FWD,2117.5,339.6,8.7,4.6,425.5
BMW,i5 M60 (v2022),79.5,214.6,164.8,FWD,2107.3,225.0,9.4,3.8,352.7
BMW,i4 M50 (v2024),89.8,217.5,178.1,AWD,2470.1,294.6,8.1,2.9,402.8
Rivian,R1S Dual Motor (v2024),67.9,210.2,183.5,RWD,2187.1,332.6,8.0,2.3,299.5
Volvo,EX30 Single Motor (v2024),105.3,240.3,180.2,AWD,2581.0,338.2,8.3,3.2,402.0
Kia,EV6 Light (v2021),78.0,226.1,168.2,AWD,2200.4,305.0,8.1,2.2,316.3
Toyota,bZ4X AWD (v2025),54.6,188.7,152.6,RWD,1696.2,121.9,10.2,1.8,259.2
Rivian,R1S Quad Motor (v2023),48.1,222.0,185.9,AWD,1989.9,358.8,7.8,4.4,195.5
Chevrolet,Bolt EV (v2024),106.1,223.7,191.0,RWD,2498.4,380.0,7.0,3.5,419.0
BYD,Seal RWD (v2022),109.4,210.1,188.5,RWD,2353.3,408.4,7.5,3.4,468.9
Kia,Niro EV (v2024),95.9,232.6,188.5,AWD,2355.8,348.1,8.0,9.8,403.7
Honda,e:Ny1 (v2025),36.5,178.3,153.4,FWD,1516.7,150.5,10.1,2.2,199.4
Kia,EV6 GT (v2022),106.3,236.6,194.1,AWD,2466.1,428.4,6.8,6.6,423.5
Nissan,Townstar EV (v2022),35.8,175.2,144.3,RWD,1598.0,127.1,10.9,1.9,199.3
Kia,EV6 Light (v2023),103.3,241.3,202.2,AWD,2675.0,453.6,6.3,5.3,415.2
Toyota,bZ3 (v2024),61.3,195.7,149.2,FWD,1953.9,164.2,10.4,2.1,299.5
Porsche,Taycan Cross Turismo (v2023),125.3,248.2,246.6,AWD,2889.7,751.6,3.5,4.1,480.2
MG,ZS EV Standard (v2023),45.2,202.5,145.9,AWD,1745.6,131.4,9.9,2.8,202.5
Lucid,Air Grand Touring (v2025),61.5,214.3,174.2,AWD,2096.3,311.1,8.6,2.5,267.1
Lucid,Air Grand Touring (v2023),91.9,232.4,229.2,AWD,2243.3,628.5,4.8,3.8,382.0
Chevrolet,Blazer EV LT (v2023),53.7,212.4,166.1,AWD,1779.6,210.8,9.9,3.4,231.7
Tesla,Model 3 SR (v2025),77.5,202.3,177.2,RWD,2150.1,308.0,8.3,2.3,344.5
Lucid,Air Sapphire (v2022),120.4,263.1,225.7,AWD,2795.7,594.8,5.0,6.6,439.0
Audi,Q6 e-tron (v2024),102.4,232.8,184.0,RWD,2618.3,325.3,8.6,3.0,408.5
Volkswagen,ID.5 GTX (v2022),49.7,193.4,154.0,RWD,1611.1,157.0,10.3,1.7,239.9
Jaguar,I-Pace HSE (v2024),50.2,202.3,153.4,RWD,1815.0,178.4,9.7,2.8,229.4
Porsche,Taycan 4S (v2021),100.6,252.3,258.1,AWD,2521.2,857.8,2.1,3.1,370.3
Audi,Q4 50 e-tron (v2025),63.0,207.5,155.7,FWD,1947.0,201.1,9.2,2.7,274.4
Tesla,Model Y Performance (v2024),91.4,242.8,216.8,AWD,2319.4,529.6,6.1,2.7,337.0
Volkswagen,ID.4 GTX (v2025),95.9,227.2,177.3,AWD,2437.2,303.2,8.3,2.7,394.4
Volkswagen,ID.5 GTX (v2025),92.0,233.1,184.9,AWD,2493.4,371.4,7.5,3.9,351.6
Toyota,bZ3 (v2024),67.2,191.5,168.1,RWD,2006.9,277.6,8.9,2.7,310.1
Rivian,R1S Quad Motor (v2024),69.6,230.3,222.6,RWD,2141.3,602.2,5.4,3.2,287.4
Nissan,Leaf 40kWh (v2021),38.3,200.3,161.9,AWD,1848.7,119.0,10.6,1.2,182.0
Volkswagen,ID.3 Pro S (v2024),72.6,209.4,181.1,RWD,2060.6,317.3,8.4,2.5,333.1
Chevrolet,Equinox EV (v2022),76.9,197.6,162.5,FWD,2037.7,228.4,9.1,6.7,345.6
Volkswagen,ID.4 Pro (v2021),51.5,199.7,152.8,RWD,1895.7,146.0,10.0,2.2,230.9
Polestar,Polestar 2 Performance (v2024),46.5,186.4,150.9,RWD,1673.6,181.5,9.7,1.6,228.0
MG,ZS EV Standard (v2025),48.4,204.8,161.5,AWD,1784.4,195.4,9.4,1.9,217.2
BMW,i7 xDrive60 (v2023),106.0,213.1,171.7,RWD,2325.8,254.5,8.7,2.9,478.9
BYD,Song Plus EV (v2022),64.1,188.2,160.8,RWD,2078.5,151.3,10.4,2.7,309.0
Honda,e:Ny1 (v2022),40.8,191.0,146.9,FWD,1739.7,91.9,11.6,1.2,204.4
MG,ZS EV Long Range (v2023),36.0,192.1,147.4,AWD,1639.6,135.2,10.1,1.3,182.6
Toyota,bZ4X AWD (v2023),64.4,209.3,182.4,FWD,2098.6,289.7,7.9,3.2,294.9
Polestar,Polestar 2 Standard (v2023),46.9,195.1,157.8,FWD,1889.3,183.7,9.5,4.3,220.1
Ford,E-Transit (v2024),97.8,205.9,191.1,FWD,2220.3,385.4,7.2,6.2,453.1
Polestar,Polestar 2 Standard (v2025),105.3,219.7,165.0,RWD,2626.4,253.3,9.0,3.7,428.8
Lucid,Air Sapphire (v2021),128.5,249.1,222.3,AWD,2701.5,599.5,4.7,6.8,489.8
Audi,Q8 55 e-tron (v2022),108.3,221.0,203.0,FWD,2381.2,443.1,6.3,3.6,451.3
Rivian,R1S Dual Motor (v2025),86.9,235.3,197.2,AWD,2392.2,433.0,6.6,7.8,325.2
Toyota,bZ4X FWD (v2024),82.9,229.2,169.5,AWD,2471.4,245.8,8.9,3.6,341.4
Lucid,Air Sapphire (v2023),61.8,186.5,163.1,RWD,1725.5,229.7,9.4,2.0,309.5
Porsche,Taycan Base (v2021),118.2,274.7,266.0,AWD,2805.7,880.0,2.2,4.3,388.5
Mercedes,EQA 250 (v2021),63.1,221.2,177.4,FWD,2005.1,268.7,8.8,2.3,255.5
Kia,EV6 GT-Line (v2024),60.6,199.5,160.2,FWD,1914.2,212.8,9.7,2.9,287.4
Porsche,Taycan Cross Turismo (v2022),79.5,222.9,200.4,RWD,2294.3,424.2,6.9,3.0,344.8
Porsche,Taycan Base (v2022),130.9,265.6,238.6,AWD,2973.7,648.7,4.2,4.6,439.8
Kia,EV9 GT-Line (v2021),46.0,204.6,159.8,AWD,1963.9,184.6,10.3,1.4,211.9
Hyundai,Ioniq 5 Long Range (v2024),105.9,236.0,197.8,AWD,2674.7,387.6,7.4,3.0,394.8
Tesla,Model Y Performance (v2024),111.6,250.1,204.8,AWD,2658.9,488.0,6.1,4.4,413.1
